Issuer,Shares,Cost,Carrying Value,,https://atbim.atb.com/siteassets/investor-information/compass-series-annual-report.pdf
"Canadian Tire Corporation, Limited CI. A","21,965","3,172,219","3,321,547",,
Canfor Corporation,"6,200","109,107","94,116",,
Carrier Global Corporation,"5,719","255,059","561,150",,
Cascades Inc.,"5,000","59,794","59,550",,
CCL Industries Inc. Cl. B,"43,481","2,638,777","3,215,420",,
CDW Corporation,"1,190","286,423","297,707",,
Celestica Inc.,"5,900","163,931","782,694",,
Cencora Inc.,"7,514","1,574,839","2,426,769",,
CGI Inc.,"12,419","1,384,960","1,953,260",,
Champion Iron Limited,"24,000","154,064","124,320",,
Chartwell Retirement Residences,"33,924","411,258","511,574",,
"Chugai Pharmaceutical Co., Ltd.","17,300","654,610","1,106,170",,
Cineplex Inc.,"6,300","59,599","76,860",,
CME Group Inc. CI. A,"9,498","2,466,300","3,170,613",,
Colliers International Group Inc.,"7,054","837,362","1,378,916",,
Compass Group PLC,"67,997","2,278,630","3,257,318",,
"Computer Modelling Group, Ltd.","5,400","54,286","57,510",,
Constellation Software Inc.,620,"1,046,503","2,755,844",,
"Constellation Software Inc., Warrants (Exp. 03/31/40)",725,,,,
Converge Technology Solution Corp.,"52,748","240,099","172,486",,
CVS Health Corporation,"10,405","1,075,647","671,405",,
Danaher Corporation,"4,321","1,212,804","1,425,786",,
DBS Group Holdings Limited,"28,594","792,534","1,315,856",,
Deutsche Boerse AG,"8,356","1,941,293","2,767,086",,
Diploma PLC,"11,721","881,570","896,429",,
DNB Bank ASA,"38,609","1,031,719","1,106,226",,
Dollarama Inc.,"14,706","843,133","2,062,958",,
Dominion Lending Centres Inc.,"8,100","27,266","63,180",,
Dorel Industries Inc. CI. B Sub. Voting,"13,400","80,372","52,126",,
Dream Unlimited Corp. CI. A Sub. Voting,"2,900","76,359","64,148",,
DSV A/S,"3,444","860,348","1,051,427",,
Dye & Durham Limited,"18,849","312,467","331,365",,
Edenred,"16,999","1,380,955","803,631",,
"Element Fleet Management, Corp.","121,021","2,583,862","3,516,870",,
Enbridge Inc.,"43,970","2,089,409","2,682,610",,
EQB Inc.,"2,278","124,860","225,454",,
Equinor ASA,"26,235","1,173,900","879,230",,
Fairfax India Holdings Corporation,"8,702","152,230","200,264",,
Ferguson Enterprises Inc.,"4,911","979,762","1,225,286",,
FinecoBank Banca Fineco SPA,"106,423","2,143,197","2,660,576",,
Finning International Inc.,"9,126","280,021","347,609",,
First National Financial Corporation,"1,496","54,116","60,349",,
Foraco International,"21,700","60,679","52,297",,
Fortis Inc.,"65,223","3,545,291","3,895,770",,
Frontier Lithium Inc.,"15,700","36,087","7,065",,
"FTI Consulting, Inc. CI. A","8,528","2,195,108","2,342,981",,
Galaxy Digital Holdings Ltd.,"2,600","52,691","64,974",,
GDI Integrated Facility Services Inc.,"2,783","86,205","109,233",,
Genmab AS,"2,153","1,064,644","641,604",,
Gibson Energy Inc.,"8,200","195,755","200,736",,
Gildan Activewear Inc.,"53,310","2,230,111","3,606,421",,
goeasy Ltd.,"2,701","469,811","450,284",,
Groupe Dynamite Inc.,"3,375","70,875","65,644",,
HDFC Bank Limited ADR,"24,141","1,981,093","2,216,037",,
Headwater Exploration Inc.,"20,900","149,907","138,149",,
"Hitachi, Ltd.","77,000","2,219,925","2,769,465",,
HLS Therapeutics Inc.,809,"11,415","3,179",,
Hudbay Minerals Inc.,"34,400","296,398","401,104",,
Hydro One Limited,"8,122","246,459","359,561",,
iA Financial Corporation Inc.,"4,801","342,932","640,069",,
Icon Public Limited Company,"2,860","1,259,877","862,140",,
IMCD NV,"4,064","859,610","868,351",,
Innergex Renewable Energy Inc.,"21,500","225,841","173,075",,
Intact Financial Corporation,"10,357","1,735,402","2,710,738",,
"Intercontinental Exchange, Inc.","11,138","1,609,021","2,385,697",,
ITT Inc.,"3,948","708,488","810,852",,
Jamieson Wellness Inc.,"7,752","235,526","284,576",,
"Japan Exchange Group, Inc.","43,200","535,847","698,549",,
Johnson & Johnson,"5,314","1,048,428","1,104,696",,
JPMorgan Chase & Co.,"4,622","859,622","1,592,608",,
K92 Mining Inc.,"24,300","189,539","210,924",,
Kaspi.kz Joint Stock Company ADR,"3,939","455,240","536,259",,
KDDI Corporation,"39,400","1,637,608","1,814,842",,
"kneat.com, inc.","41,600","126,134","243,776",,
KONE OYJ Series B,"24,211","1,625,080","1,694,338",,
Koninklijke Ahold Delhaize NV,"39,438","1,600,737","1,849,171",,
Kraken Robotics Inc.,"35,184","63,628","96,756",,
Labrador Iron Ore Royalty Corporation,"1,800","59,202","52,074",,
Lightspeed Commerce Inc.,"6,500","121,889","142,480",,
Lithium Americas Corp.,"5,900","40,622","25,370",,
Loblaw Companies Limited,"5,345","393,544","1,011,114",,
Logan Energy Corp.,"40,700","43,622","28,490",,
London Stock Exchange Group PLC,"7,451","1,420,532","1,513,138",,
Lumine Group Inc.,"9,608","199,424","395,273",,
LVMH Moet Hennessy Louis Vuitton SE,"1,542","1,518,106","1,459,115",,
Mainstreet Equity Corp.,"1,552","118,459","316,228",,
Major Drilling Group International Inc.,"21,300","214,645","174,873",,
Manulife Financial Corporation,"88,366","2,377,939","3,902,243",,
"Marsh & McLennan Companies, Inc.","12,811","2,241,907","3,911,567",,
"Martin Marietta Materials, Inc.","2,918","1,550,493","2,166,448",,
MasterCard Incorporated Cl. A,"3,535","1,693,257","2,675,705",,
Mattr Corp.,"14,460","232,302","182,774",,
"McCormick & Company, Incorporated","5,678","614,082","622,259",,
MEG Energy Corp.,"11,600","241,722","273,760",,
Microsoft Corporation,"7,694","2,227,965","4,661,681",,
National Bank of Canada,"14,575","1,184,279","1,909,908",,
Neo Performance Materials Inc.,"14,072","144,717","112,435",,
"NetEase, Inc.","17,200","472,762","440,579",,
"NetEase, Inc. ADR","3,400","473,053","435,999",,
NexGen Energy Ltd.,"10,400","60,341","98,592",,
NFI Group Inc.,"9,500","159,944","133,000",,
NGEx Minerals Ltd.,"7,700","56,471","103,257",,
"NIKE, Inc. CI. B","14,890","1,998,522","1,619,613",,
Nippon Sanso Holdings Corporation,"24,100","1,004,361","974,029",,
"Nomura Research Institute, Ltd.","22,300","857,289","949,155",,
"North American Construction Group, Ltd.","7,117","142,938","220,485",,
Novo Nordisk A/S CI. B,"9,948","843,290","1,239,847",,
Nutrien Ltd.,"32,810","2,639,848","2,110,339",,
OceanaGold Corporation,"37,600","100,121","149,648",,
Open Text Corporation,"27,650","1,432,440","1,124,802",,
"OSI Systems, Inc.","3,085","793,768","742,474",,
"Osisko Gold Royalties, Ltd.","16,300","313,848","424,289",,
Parex Resources Inc.,"16,518","309,077","240,832",,
Parkland Corporation,"25,942","908,905","843,374",,
Pason Systems Inc.,"11,330","134,093","154,201",,
"Paychex, Inc.","8,569","1,106,611","1,727,161",,
Pembina Pipeline Corporation,"45,015","1,614,753","2,390,747",,
Pet Valu Holdings Ltd.,"17,398","526,459","439,126",,
Pollard Banknote Limited,"2,661","105,527","63,864",,
Precision Drilling Corporation,300,"26,794","26,376",,
"RB Global, Inc.","18,010","1,405,404","2,336,617",,
Recordati Industria Chimica e Farmaceutica SPA,"19,238","1,245,142","1,449,439",,
RELX PLC,"47,541","1,881,834","3,104,685",,
Restaurant Brands International Inc.,"13,299","1,060,521","1,245,983",,
Rheinmetall AG,"2,568","811,156","2,350,050",,
Richards Packaging Income Fund,"2,690","102,209","78,548",,
"Richelieu Hardware, Ltd.","10,607","355,281","414,097",,
Roche Holding AG Non-Voting,"4,438","1,892,300","1,795,975",,
Royal Bank of Canada,"28,137","3,084,113","4,876,705",,
"Ryan Specialty Group Holdings, Inc. CI. A","6,268","247,106","578,078",,
S&P Global Inc.,"1,715","698,505","1,227,757",,
Sampo OYJ Series A,"34,070","1,891,392","1,997,733",,
Sangoma Technologies Corporation,"8,162","82,660","81,620",,
Saputo Inc.,"69,145","2,281,365","1,727,934",,
Shell PLC ADR,"24,920","2,058,688","2,244,202",,
Shopify Inc. CI. A,"3,728","414,507","570,347",,
Sienna Senior Living Inc.,"4,900","75,932","76,538",,
SilverCrest Metals Inc.,"7,500","113,845","98,325",,
Softchoice Corporation,"17,453","342,080","423,061",,
Solaris Resources Inc.,"31,321","178,756","139,692",,
Spin Master Corp. Sub. Voting,"18,027","602,245","610,574",,
Sprott Inc.,"1,400","85,482","84,798",,
Stantec Inc.,"5,591","253,762","630,553",,
State Street Corporation,"8,552","866,780","1,206,565",,
Stella-Jones Inc.,"9,683","662,612","689,333",,
StorageVault Canada Inc.,"4,884","19,307","19,243",,
Sun Life Financial Inc.,"34,745","2,173,531","2,965,486",,
Suncor Energy Inc.,"70,226","2,489,064","3,603,296",,
"Sundrug Co., Ltd.","1,000","39,404","36,762",,
Taiwan Semiconductor Manufacturing Company Limited,"91,000","2,394,540","4,289,178",,
TC Energy Corporation,"40,865","2,156,876","2,737,546",,
Tecsys Inc.,"9,100","277,282","417,235",,
TELUS Corporation,"10,207","238,838","198,934",,
Tencent Holdings Limited,"45,900","3,414,357","3,542,483",,
Tencent Music Entertainment Group ADR,"52,773","934,857","860,995",,
TerraVest Industries Inc.,"4,811","190,528","537,870",,
Texas Instruments Incorporated,"3,355","691,322","904,294",,
TFI International Inc.,"1,822","347,432","353,905",,
Thales SA,"7,355","1,292,521","1,518,420",,
The Bank of Nova Scotia,"37,418","2,540,930","2,888,295",,
The Descartes Systems Group Inc.,"3,384","374,395","552,946",,
The Hershey Company,"3,925","931,116","955,471",,
The North West Company Inc.,"1,400","56,140","68,768",,
The Procter & Gamble Company,"11,689","2,079,059","2,816,914",,
The Sherwin-Williams Company,"3,498","1,129,476","1,709,236",,
The Southern Company,"10,035","947,670","1,187,450",,
The Toronto-Dominion Bank,"21,120","1,446,250","1,616,314",,
The Weir Group PLC,"30,674","822,880","1,205,550",,
The Westaim Corporation,"4,900","23,558","25,333",,
Thomson Reuters Corporation,"4,670","549,200","1,077,929",,
TMX Group Limited,"30,549","748,172","1,352,710",,
"Topicus.com, Inc. Sub. Voting","7,180","727,345","872,657",,
Toromont Industries Ltd.,"1,762","85,173","200,234",,
Tradeweb Markets Inc. CI. A,"5,016","471,745","943,966",,
TransAlta Corporation,"14,400","179,880","292,752",,
"Trisura Group, Ltd.","22,964","931,172","895,137",,
"Tsuruha Holdings, Inc.","6,800","787,625","542,019",,
UnitedHealth Group Incorporated,"3,811","2,076,723","2,771,163",,
"Verisk Analytics, Inc. CI. A","4,419","1,047,224","1,749,557",,
Verizon Communications Inc.,"50,793","2,872,904","2,919,766",,
VerticalScope Holdings Inc.,"1,200","12,000","12,420",,
Visa Inc. CI. A,"10,190","2,806,099","4,629,232",,
VitalHub Corp.,"15,345","104,524","172,938",,
Wajax Corporation,"8,142","235,771","170,656",,
"Waste Connections, Inc.","3,279","553,609","808,601",,
Waters Corporation,"5,214","1,805,104","2,780,445",,
WELLSTAR Technologies Corp. Preferred,"68,484","68,484","68,484",,
Western Investment Company of Canada Limited Restricted (Exp.,"70,000","28,000","28,000",,
"Western Investment Company of Canada Limited, Warrants (Exp.","70,000",7,7,,
Westgold Resources Limited,"59,566","152,322","150,106",,
"Winpak, Ltd.","8,031","353,150","383,320",,
Wise PLC CI. A,"1,964","36,747","37,676",,
Wolters Kluwer NV,"13,462","1,917,360","3,215,166",,
Mutual Funds: (44.56%),,"228,992,594","300,694,368",,
BlackRock CDN US Equity Index Fund CI. D,"210,950","7,846,434","13,062,579",,
BMO MSCI EAFE Index ETF,"2,420,139","45,639,656","55,687,398",,
BMO S&P 500 Index ETF,"243,484","13,655,571","22,488,182",,
BMO S&P US Mid Cap Index ETF,"397,944","13,876,250","19,121,209",,
iShares Core S&P Small-Cap ETF,"87,930","5,909,210","14,563,230",,
Mawer Canadian Equity Fund Series O,"147,147","7,794,146","13,807,288",,
Mawer Global Small Cap Fund Series O,"2,388,983","33,069,809","32,816,988",,
Mawer International Equity Fund Series O,"916,375","51,906,572","65,604,936",,
Mawer New Canada Fund Series O,"155,559","10,884,583","14,183,291",,
Sprott Physical Uranium Trust,"2,100","31,535","52,206",,
Private Equities: (0.06%),,"190,613,766","251,387,307",,
TriWest Capital Partners Private Equity Fund III,"306,233","576,602","76,629",,
TriWest Capital Partners Private Equity Fund IV,"318,466","269,059","242,639",,
Real Estate Investment Trust (REITs): (0.48%),,"845,661","319,268",,
Allied Properties Real Estate Investment Trust,"25,200","922,154","432,180",,
Boardwalk Real Estate Investment Trust,"15,725","887,249","1,010,331",,
Crombie Real Estate Investment Trust,"13,300","211,962","175,693",,
Granite Real Estate Investment Trust,"14,256","1,144,950","994,499",,
Minto Apartment Real Estate Investment Trust,"9,500","148,059","126,730",,
Short Term Investments: (0.40%),,"3,314,374","2,739,433",,
Government of Canada 3.40% Jan 15/25,"499,000","498,299","498,299",,
Government of Canada 3.37% Jan 30/25,"129,000","128,644","128,644",,
Government of Canada 3.41% Feb 12/25,"57,000","56,773","56,772",,
Government of Canada 3.09% Mar 12/25,"450,000","447,135","447,135",,
Government of Canada 3.10% Mar 27/25,"193,000","191,605","191,605",,
United States Treasury Bill 4.30% Jan 30/25*,"409,000","567,269","585,853",,
United States Treasury Bill 4.38% Feb 13/25*,"48,000","67,225","68,636",,
United States Treasury Bill 4.29% Mar 11/25*,"132,000","184,661","188,192",,
United States Treasury Bill 4.23% Mar 27/25*,"52,000","73,979","74,010",,
